Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2020-11-20T11:33:15+00:00,0.84666666667,0,0.20666666667,0,0,98.873333333
2020-11-20T11:33:30+00:00,1.38,0,0.76,0,0.073333333333,97.833333333
2020-11-20T11:33:45+00:00,24.5,0,2.6666666667,0,0.1,72.766666667
2020-11-20T11:34:00+00:00,35.9,0,3.5,0,0.1,60.5
2020-11-20T11:34:15+00:00,36.046666667,0,2.5466666667,4.0333333333,0.026666666667,57.273333333
2020-11-20T11:34:30+00:00,39.693333333,0,1.32,1.4666666667,0,57.493333333
2020-11-20T11:34:45+00:00,65.493333333,0,1.5133333333,0,0,32.993333333
2020-11-20T11:35:00+00:00,74.4,0,1.7,0,0,23.9
2020-11-20T11:35:15+00:00,40.006666667,0,0.82,0,0,59.173333333
