Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Free\g,Swap\g,Total\g
2020-11-20T05:07:15+00:00,5760295731.2,0,2029390233.6,66402713.6,508823961.6,0,8364912640
2020-11-20T05:07:30+00:00,6312206336,0,1866375168,61792256,124538880,0,8364912640
2020-11-20T05:07:45+00:00,6312206336,0,1866375168,61792256,124538880,0,8364912640
2020-11-20T05:08:00+00:00,6467448012.8,0,1663310233.6,61792256,172362137.6,0,8364912640
2020-11-20T05:08:15+00:00,6700310528,0,1358712832,61792256,244097024,0,8364912640
2020-11-20T05:08:30+00:00,6700310528,0,1358712832,61792256,244097024,0,8364912640
2020-11-20T05:08:45+00:00,6766906572.8,0,1338486784,61846323.2,197672960,0,8364912640
2020-11-20T05:09:00+00:00,6866800640,0,1308147712,61927424,128036864,0,8364912640
2020-11-20T05:09:15+00:00,6879119769.6,0,1299762380.8,61917593.6,124112896,0,8364912640
2020-11-20T05:09:30+00:00,6897598464,0,1287184384,61902848,118226944,0,8364912640
2020-11-20T05:09:45+00:00,6897598464,0,1287184384,61902848,118226944,0,8364912640
2020-11-20T05:10:00+00:00,6904866406.4,0,1277324492.8,61893017.6,120828723.2,0,8364912640
2020-11-20T05:10:15+00:00,6915768320,0,1262534656,61878272,124731392,0,8364912640
2020-11-20T05:10:30+00:00,6915768320,0,1262534656,61878272,124731392,0,8364912640
2020-11-20T05:10:45+00:00,6947548364.8,0,1256676010.7,36677495.467,124010769.07,0,8364912640
2020-11-20T05:11:00+00:00,6983868416,0,1249980416,7876608,123187200,0,8364912640
2020-11-20T05:11:15+00:00,7001960721.1,0,1227490645.3,7880977.0667,127580296.53,0,8364912640
2020-11-20T05:11:30+00:00,7017791488,0,1207812096,7884800,131424256,0,8364912640
2020-11-20T05:11:45+00:00,7017791488,0,1207812096,7884800,131424256,0,8364912640
2020-11-20T05:12:00+00:00,7087615726.9,0,1143315933.9,7854216.5333,126126762.67,0,8364912640
2020-11-20T05:12:15+00:00,7148711936,0,1086881792,7827456,121491456,0,8364912640
2020-11-20T05:12:30+00:00,7148711936,0,1086881792,7827456,121491456,0,8364912640
2020-11-20T05:12:45+00:00,7188520140.8,0,1038616985.6,7812710.4,129962803.2,0,8364912640
2020-11-20T05:13:00+00:00,7215058944,0,1006440448,7802880,135610368,0,8364912640
2020-11-20T05:13:15+00:00,7215058944,0,1006440448,7802880,135610368,0,8364912640
2020-11-20T05:13:30+00:00,7218659328,0,928482918.4,7761100.8,210009292.8,0,8364912640
2020-11-20T05:13:45+00:00,7221059584,0,876511232,7733248,259608576,0,8364912640
2020-11-20T05:14:00+00:00,7255055564.8,0,879568486.4,7733248,222555340.8,0,8364912640
2020-11-20T05:14:15+00:00,7277719552,0,881606656,7733248,197853184,0,8364912640
2020-11-20T05:14:30+00:00,7277719552,0,881606656,7733248,197853184,0,8364912640
2020-11-20T05:14:45+00:00,7312875246.9,0,813953843.2,6586368,231497181.87,0,8364912640
2020-11-20T05:15:00+00:00,7343636480,0,754757632,5582848,260935680,0,8364912640
2020-11-20T05:15:15+00:00,7347600861.9,0,756458837.33,6444919.4667,254408021.33,0,8364912640
2020-11-20T05:15:30+00:00,7352131584,0,758403072,7430144,246947840,0,8364912640
2020-11-20T05:15:45+00:00,7352131584,0,758403072,7430144,246947840,0,8364912640
2020-11-20T05:16:00+00:00,7351484416,0,753607475.2,7497318.4,252323430.4,0,8364912640
2020-11-20T05:16:15+00:00,7350513664,0,746414080,7598080,260386816,0,8364912640
