Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Free\g,Swap\g,Total\g
2020-11-19T11:47:15+00:00,1974582476.8,0,2126205201.1,74481664,4189643298.1,0,8364912640
2020-11-19T11:47:30+00:00,2290020352,0,2304348160,74481664,3696062464,0,8364912640
2020-11-19T11:47:45+00:00,2335862784,0,2304368640,74481664,3650199552,0,8364912640
2020-11-19T11:48:00+00:00,2335862784,0,2304368640,74481664,3650199552,0,8364912640
2020-11-19T11:48:15+00:00,2335862784,0,2304368640,74481664,3650199552,0,8364912640
2020-11-19T11:48:30+00:00,2656251904,0,2322612224,74481664,3311566848,0,8364912640
2020-11-19T11:48:45+00:00,2656251904,0,2322612224,74481664,3311566848,0,8364912640
2020-11-19T11:49:00+00:00,2656251904,0,2322612224,74481664,3311566848,0,8364912640
2020-11-19T11:49:15+00:00,2678341632,0,2323464192,74481664,3288625152,0,8364912640
2020-11-19T11:49:30+00:00,2678341632,0,2323464192,74481664,3288625152,0,8364912640
2020-11-19T11:49:45+00:00,2681622528,0,2324598784,74481664,3284209664,0,8364912640
2020-11-19T11:50:00+00:00,2681622528,0,2324598784,74481664,3284209664,0,8364912640
2020-11-19T11:50:15+00:00,2681622528,0,2324598784,74481664,3284209664,0,8364912640
