Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2020-11-19T11:47:15+00:00,34.486666667,0,3.6333333333,0.69333333333,0.046666666667,61.14
2020-11-19T11:47:30+00:00,0.6,0,0.4,7.9,0,91.1
2020-11-19T11:47:45+00:00,1.7,0,0.2,0,0,98
2020-11-19T11:48:00+00:00,1.7,0,0.2,0,0,98
2020-11-19T11:48:15+00:00,51.5,0,2.4,0,0,46
2020-11-19T11:48:30+00:00,57.8,0,1.4,0,0,40.8
2020-11-19T11:48:45+00:00,64.7,0,1.4,0,0,34
2020-11-19T11:49:00+00:00,64.7,0,1.4,0,0,34
2020-11-19T11:49:15+00:00,56.4,0,1.5,0,0,42.1
2020-11-19T11:49:30+00:00,64,0,1.5,0,0,34.5
2020-11-19T11:49:45+00:00,53.1,0,1,0,0,46
2020-11-19T11:50:00+00:00,53.1,0,1,0,0,46
2020-11-19T11:50:15+00:00,0.6,0,0.1,0,0,99.3
