Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Free\g,Swap\g,Total\g
2020-11-20T08:51:15+00:00,6484541440,0,1577308160,81661952,221401088,0,8364912640
2020-11-20T08:51:30+00:00,4782366720,0,1346478080,81678336,2154389504,0,8364912640
2020-11-20T08:51:45+00:00,4782366720,0,1346478080,81678336,2154389504,0,8364912640
2020-11-20T08:52:00+00:00,5277274931.2,0,1685650909.9,81687074.133,1320299724.8,0,8364912640
2020-11-20T08:52:15+00:00,5277274931.2,0,1685650909.9,81687074.133,1320299724.8,0,8364912640
2020-11-20T08:52:30+00:00,5710319616,0,1982427136,81694720,590471168,0,8364912640
2020-11-20T08:52:45+00:00,6151151616,0,1915170816,81694720,216895488,0,8364912640
2020-11-20T08:53:00+00:00,6151151616,0,1915170816,81694720,216895488,0,8364912640
2020-11-20T08:53:15+00:00,6168973038.9,0,1896876441.6,81694720,217368439.47,0,8364912640
2020-11-20T08:53:30+00:00,6418472960,0,1640755200,81694720,223989760,0,8364912640
2020-11-20T08:53:45+00:00,6418472960,0,1640755200,81694720,223989760,0,8364912640
2020-11-20T08:54:00+00:00,6418472960,0,1640755200,81694720,223989760,0,8364912640
2020-11-20T08:54:15+00:00,6716514304,0,1451401216,59981824,137015296,0,8364912640
2020-11-20T08:54:30+00:00,6721931127.5,0,1446263739.7,59981824,136735948.8,0,8364912640
2020-11-20T08:54:45+00:00,6797766656,0,1374339072,59981824,132825088,0,8364912640
2020-11-20T08:55:00+00:00,6797766656,0,1374339072,59981824,132825088,0,8364912640
2020-11-20T08:55:15+00:00,6808565896.5,0,1364452966.4,59981824,131911953.07,0,8364912640
2020-11-20T08:55:30+00:00,6878760960,0,1300193280,59981824,125976576,0,8364912640
2020-11-20T08:55:45+00:00,6878760960,0,1300193280,59981824,125976576,0,8364912640
2020-11-20T08:56:00+00:00,6904301158.4,0,1270950297.6,63758336,125902848,0,8364912640
2020-11-20T08:56:15+00:00,7006461952,0,1153978368,78864384,125607936,0,8364912640
2020-11-20T08:56:30+00:00,7034716160,0,1127042252.8,78864384,124289843.2,0,8364912640
2020-11-20T08:56:45+00:00,7147732992,0,1019297792,78864384,119017472,0,8364912640
2020-11-20T08:57:00+00:00,7147732992,0,1019297792,78864384,119017472,0,8364912640
2020-11-20T08:57:15+00:00,7153693491.2,0,986098073.6,78864384,146256691.2,0,8364912640
2020-11-20T08:57:30+00:00,7177535488,0,853299200,78864384,255213568,0,8364912640
2020-11-20T08:57:45+00:00,7177535488,0,853299200,78864384,255213568,0,8364912640
2020-11-20T08:58:00+00:00,7198676309.3,0,841840230.4,78864384,245531716.27,0,8364912640
2020-11-20T08:58:15+00:00,7256813568,0,810328064,78864384,218906624,0,8364912640
2020-11-20T08:58:30+00:00,7255864115.2,0,802294988.8,78864384,227889152,0,8364912640
2020-11-20T08:58:45+00:00,7252066304,0,770162688,78864384,263819264,0,8364912640
2020-11-20T08:59:00+00:00,7252066304,0,770162688,78864384,263819264,0,8364912640
2020-11-20T08:59:15+00:00,7256916787.2,0,771116236.8,78864384,258015232,0,8364912640
2020-11-20T08:59:30+00:00,7276318720,0,774930432,78864384,234799104,0,8364912640
2020-11-20T08:59:45+00:00,7276318720,0,774930432,78864384,234799104,0,8364912640
2020-11-20T09:00:00+00:00,7280438476.8,0,773449045.33,78864384,232160733.87,0,8364912640
2020-11-20T09:00:15+00:00,7338115072,0,752709632,78864384,195223552,0,8364912640
2020-11-20T09:00:30+00:00,7352788582.4,0,730375509.33,78864930.133,202883618.13,0,8364912640
2020-11-20T09:00:45+00:00,7448166400,0,585203712,78868480,252674048,0,8364912640
2020-11-20T09:01:00+00:00,7448166400,0,585203712,78868480,252674048,0,8364912640
2020-11-20T09:01:15+00:00,7450016153.6,0,585895116.8,78871210.667,250130158.93,0,8364912640
2020-11-20T09:01:30+00:00,7462039552,0,590389248,78888960,233594880,0,8364912640
2020-11-20T09:01:45+00:00,7462039552,0,590389248,78888960,233594880,0,8364912640
2020-11-20T09:02:00+00:00,7462611899.7,0,589509427.2,78888960,233902353.07,0,8364912640
2020-11-20T09:02:15+00:00,7466332160,0,583790592,78888960,235900928,0,8364912640
