Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Free\g,Swap\g,Total\g
2020-11-19T12:34:15+00:00,1405923328,0,1669353472,74457088,5215178752,0,8364912640
2020-11-19T12:34:30+00:00,1647635387.7,0,1849061922.1,74457088,4793758242.1,0,8364912640
2020-11-19T12:34:45+00:00,1647635387.7,0,1849061922.1,74457088,4793758242.1,0,8364912640
2020-11-19T12:35:00+00:00,1867167880.5,0,2008317132.8,74457088,4414970538.7,0,8364912640
2020-11-19T12:35:15+00:00,1979650048,0,2036461568,74457088,4274343936,0,8364912640
2020-11-19T12:35:30+00:00,1979650048,0,2036461568,74457088,4274343936,0,8364912640
2020-11-19T12:35:45+00:00,1981334869.3,0,2036530380.8,74457088,4272590301.9,0,8364912640
2020-11-19T12:36:00+00:00,1992286208,0,2036977664,74457088,4261191680,0,8364912640
2020-11-19T12:36:15+00:00,1992286208,0,2036977664,74457088,4261191680,0,8364912640
2020-11-19T12:36:30+00:00,1992402534.4,0,2037048934.4,74457088,4261004083.2,0,8364912640
2020-11-19T12:36:45+00:00,1994031104,0,2038046720,74457088,4258377728,0,8364912640
2020-11-19T12:37:00+00:00,2015264768,0,2038651835.7,74457088,4236538948.3,0,8364912640
2020-11-19T12:37:15+00:00,2015264768,0,2038651835.7,74457088,4236538948.3,0,8364912640
2020-11-19T12:37:30+00:00,2033844224,0,2039181312,74457088,4217430016,0,8364912640
2020-11-19T12:37:45+00:00,2033844224,0,2039181312,74457088,4217430016,0,8364912640
2020-11-19T12:38:00+00:00,2257743872,0,2043588608,74457088,3989123072,0,8364912640
2020-11-19T12:38:15+00:00,2257743872,0,2043588608,74457088,3989123072,0,8364912640
2020-11-19T12:38:30+00:00,2257743872,0,2043588608,74457088,3989123072,0,8364912640
2020-11-19T12:38:45+00:00,2355826688,0,2044993536,74457088,3889635328,0,8364912640
2020-11-19T12:39:00+00:00,2355826688,0,2044993536,74457088,3889635328,0,8364912640
2020-11-19T12:39:15+00:00,2349281280,0,2045001728,74457088,3896172544,0,8364912640
