Timestamp,In ,Out
2020-11-19T12:59:15+00:00,8170.21,4546.52
2020-11-19T12:59:30+00:00,5897930.5,3425954.75
2020-11-19T12:59:45+00:00,5897930.5,3425954.75
2020-11-19T13:00:00+00:00,592224.96667,16647275.917
2020-11-19T13:00:15+00:00,213246,17591656
2020-11-19T13:00:30+00:00,213246,17591656
2020-11-19T13:00:45+00:00,29207.348,1176158.4867
2020-11-19T13:01:00+00:00,16061.73,3622.95
2020-11-19T13:01:15+00:00,16061.73,3622.95
2020-11-19T13:01:30+00:00,1392335,15261.47
2020-11-19T13:01:45+00:00,1392335,15261.47
2020-11-19T13:02:00+00:00,34052.31,9619.15
2020-11-19T13:02:15+00:00,34052.31,9619.15
2020-11-19T13:02:30+00:00,764869.34467,10745.912667
2020-11-19T13:02:45+00:00,764869.34467,10745.912667
2020-11-19T13:03:00+00:00,1404334.25,11731.83
2020-11-19T13:03:15+00:00,1313012.226,19753.326667
