Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2020-11-19T12:59:15+00:00,0.2,0,0.1,0,0,99.7
2020-11-19T12:59:30+00:00,3.5,0,1.1,0,0,95.4
2020-11-19T12:59:45+00:00,25.1,0,5,0.3,0.1,69.6
2020-11-19T13:00:00+00:00,25.1,0,5,0.3,0.1,69.6
2020-11-19T13:00:15+00:00,15.5,0,0.6,0,0,83.9
2020-11-19T13:00:30+00:00,29.2,0,2.2,8.6,0,60
2020-11-19T13:00:45+00:00,60.373333333,0,1.8266666667,0.66666666667,0,37.04
2020-11-19T13:01:00+00:00,62.6,0,1.8,0.1,0,35.4
2020-11-19T13:01:15+00:00,21,0,0.5,0,0,78.5
2020-11-19T13:01:30+00:00,1.8,0,0.3,0,0,97.9
2020-11-19T13:01:45+00:00,0.4,0,0.2,0,0,99.4
2020-11-19T13:02:00+00:00,0.4,0,0.2,0,0,99.4
2020-11-19T13:02:15+00:00,57.8,0,1.5,0,0,40.7
2020-11-19T13:02:30+00:00,3.4466666667,0,0.29333333333,0,0,96.213333333
2020-11-19T13:02:45+00:00,3.4466666667,0,0.29333333333,0,0,96.213333333
2020-11-19T13:03:00+00:00,2.82,0,0.25333333333,0,0,96.926666667
2020-11-19T13:03:15+00:00,31.666666667,0,0.95333333333,0,0,67.386666667
