Timestamp,In ,Out
2020-11-19T05:56:15+00:00,6029559.5,64387.61
2020-11-19T05:56:30+00:00,6029559.5,64387.61
2020-11-19T05:56:45+00:00,5375047.2507,56869.15
2020-11-19T05:57:00+00:00,1120717.63,7999.16
2020-11-19T05:57:15+00:00,1120717.63,7999.16
2020-11-19T05:57:30+00:00,1554227.8127,11889.312
2020-11-19T05:57:45+00:00,4372044,37175.3
2020-11-19T05:58:00+00:00,4438815.2667,36695.756667
2020-11-19T05:58:15+00:00,5373613,29982.15
2020-11-19T05:58:30+00:00,5373613,29982.15
2020-11-19T05:58:45+00:00,5373613,29982.15
2020-11-19T05:59:00+00:00,2826707,18303.16
2020-11-19T05:59:15+00:00,1319524.3013,9699.6613333
